ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000522,Hampton Wick,Richmond upon Thames,8.3,9.77,6.66,2.54,67.12,0.83,46760,53.6,3796.296296,82.1,16,5.2,3.2,72.7111556,5.496750232
E05000523,Heathfield,Richmond upon Thames,18.77,21.97,19.33,1.99,80.51,1.43,36950,29.8,5447.368421,68.33,21.33,6.8,4.7,43.6402098,7.476812417
E05000524,Kew,Richmond upon Thames,12.16,8.43,6.98,3.11,67.49,0.78,52130,62,3180.555556,55.18,22.67,4.2,2.5,73.0019129,4.69608921
E05000525,Mortlake and Barnes Common,Richmond upon Thames,9.09,11.27,10.55,3.14,82.19,0.91,50100,57.6,5763.157895,93.47,26.33,4.2,3.3,54.5294013,4.692684468
E05000526,North Richmond,Richmond upon Thames,13.18,9.8,7.87,4.36,84.73,0.8,50860,59,3803.571429,44.57,35,4.6,3.3,51.9237103,4.884733194
E05000527,St Margarets and North Twickenham,Richmond upon Thames,9.72,5.6,4.44,3.02,64.11,0.78,52870,62.6,5600,64.96,42,2.9,2.1,68.5639639,3.506907545
E05000528,South Richmond,Richmond upon Thames,9.52,6.03,4.13,4.08,90.21,0.77,52690,63.6,4018.518519,40.78,43.33,3.8,2.6,42.9036383,4.163976759
E05000529,South Twickenham,Richmond upon Thames,9.38,3.9,3.7,3.45,49.13,0.47,51380,55.3,5911.764706,64.81,20,3.2,2.2,90.1353522,4.445579969
E05000530,Teddington,Richmond upon Thames,6.22,5.83,5.63,3.03,48.86,0.52,50600,58.5,2406.976744,48.92,25.33,4.5,2.9,92.2663244,3.987884907
E05000531,Twickenham Riverside,Richmond upon Thames,7.36,5.27,4.86,4.23,69.71,0.83,51350,63.8,5200,44.21,32.67,4.2,2.5,93.618646,3.92341494
E05000532,West Twickenham,Richmond upon Thames,12.46,9.17,9.31,2.69,73.12,0.83,45040,45.1,4220,91.78,21.67,5.2,3.5,47.4521228,4.300535475
E05000533,Whitton,Richmond upon Thames,12.41,12.33,10.89,2.35,73.72,0.87,42230,36.9,6125,57.69,17,6.3,4.1,61.8670018,5.368742835
E05000534,Brunswick Park,Southwark,25.41,30.1,28.86,3.96,108.59,1.15,36310,41.5,14666.66667,73.93,34.33,6.5,4.8,45.2534072,11.67971915
E05000535,Camberwell Green,Southwark,25.59,32.67,30.05,5.61,140.9,1.26,31840,34.3,15050,45.88,67.67,7.3,5.7,38.7214012,12.8984249
E05000536,Cathedrals,Southwark,28.14,32.9,30.79,7.67,55.66,1.46,40430,45.8,8305.555556,83.51,160,6.2,4.9,36.6855908,11.10733311
E05000537,Chaucer,Southwark,26.8,33.73,29.28,6.49,89.95,1.21,37780,48.8,19000,64.58,67.33,5.2,3.9,49.3033606,8.592874748
E05000538,College,Southwark,22.57,25.67,24.23,3.24,116.79,1.35,42600,48.7,3703.125,86.07,58.33,6.8,4.4,39.9513466,8.30476784
E05000539,East Dulwich,Southwark,18.66,13.03,14.67,4.08,97.62,1.08,48670,56.5,12350,42.47,28.33,5.8,4.3,55.0246246,5.894519131
E05000540,East Walworth,Southwark,32.1,34.97,32.3,5.58,224.12,1.37,31010,32.4,10500,88.49,76.67,7.8,6.1,23.3617372,11.93907632
E05000541,Faraday,Southwark,30.1,34.37,31.4,4.41,141.95,1.22,30760,28.6,14277.77778,73.86,29.67,6.7,5.2,31.8584101,14.38304315
E05000542,Grange,Southwark,25.28,36.63,34.78,4.77,95.29,1.29,38500,46.3,12833.33333,55.11,33,6.4,4.7,26.0103484,8.524801374
E05000543,Livesey,Southwark,28.77,41.23,36.27,4.16,155.83,1.67,28880,27.9,10107.14286,40.3,78,7.8,5.8,24.7548342,15.66560785
E05000544,Newington,Southwark,28.65,34.3,32.81,5.88,139.07,1.29,34190,37.5,17687.5,66.5,59.33,7.4,5.9,40.0662019,11.68814917
E05000545,Nunhead,Southwark,25.91,32.77,31.72,4.42,139.97,1.37,33540,34.8,10500,42.49,51,8.9,7.1,35.575389,13.08652021
E05000546,Peckham,Southwark,30.42,35,32.92,4.13,150.34,1.2,30030,30.6,16388.88889,93.82,31,7.2,5.3,31.7328676,14.98318763
E05000547,Peckham Rye,Southwark,19.88,21.87,21.17,3.4,105.02,1.07,42820,49.7,5891.304348,46.47,29.33,5.7,4.3,43.5207435,7.543859649
E05000548,Riverside,Southwark,28.22,33.3,30.47,4.55,54.87,1.52,43110,54.9,11076.92308,67.7,64.67,5.6,4.3,31.2881837,7.302252488
E05000549,Rotherhithe,Southwark,31.47,36.5,33.13,4.8,141.55,1.34,36970,43,9166.666667,66.28,50,6.6,4.8,32.7992998,9.204758923
E05000550,South Bermondsey,Southwark,30.08,35.1,32.65,3.64,128.65,1.32,31150,30.9,13800,0.88,33.33,7.4,5.2,29.6030754,11.84353005
E05000551,South Camberwell,Southwark,29.33,25.57,22.03,4.29,101.86,1.25,41130,49,9730.769231,59.66,13.67,5.5,3.9,50.2564503,8.318388743
E05000552,Surrey Docks,Southwark,25.79,23.57,22.53,2.68,123.31,1.32,45410,56,7105.263158,92.58,8,4.8,3.8,24.1369873,6.133304386
E05000553,The Lane,Southwark,27.89,29.5,27.78,5.64,183.35,1.3,37940,42,11142.85714,48.63,87,7.9,5.6,29.2550147,10.16949153
E05000554,Village,Southwark,10.34,7.8,6.96,3.74,100.66,0.48,58400,63.7,4446.428571,39.92,42.33,4.2,2.9,67.5917322,4.524619252
E05000555,Beddington North,Sutton,20.65,11.8,10.13,2.64,57.68,0.88,39290,25.1,2070,57.34,29,6,4.1,63.7998356,5.868995633
