ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E09000001,City of London,City of London,,14.83,12.22,7.68,16.32,0.59,63620,68.4,2312.5,97.61223906,404,4.4,3.4,54.093266,4.525341915
E05000026,Abbey,Barking and Dagenham,23.21,33.5,28.63,5.85,153.54,1.49,33920,34.5,9884.615385,70.7,50.67,5.1,4.3,32.3920511,14.48823804
E05000027,Alibon,Barking and Dagenham,25.56,35.5,34.44,3.26,115.38,1.38,32470,16.7,7464.285714,8.01,28,8.8,6.7,33.2669571,12.17173822
E05000028,Becontree,Barking and Dagenham,28.35,33.77,33.2,2.85,125.42,1.49,33000,20.6,8923.076923,39.17,26,8.8,7,33.8170161,13.81154343
E05000029,Chadwell Heath,Barking and Dagenham,28.78,34.5,30.47,2.26,119.87,1.68,33920,19.5,2970.588235,63.11,34.67,9.8,6.8,31.2499598,12.11849192
E05000030,Eastbrook,Barking and Dagenham,24.1,27.17,23.77,2.33,75.42,0.96,37400,18.5,3014.285714,56.68,27,8.6,5.9,39.5076716,10.9633289
E05000031,Eastbury,Barking and Dagenham,24.26,33.1,30.46,2.82,112.66,1.46,32870,20,8357.142857,77.43,44.67,8.2,6.4,39.7377121,12.66540643
E05000032,Gascoigne,Barking and Dagenham,26.13,38.47,33.28,3.84,135.41,1.44,29480,25.2,11409.09091,87.33,35,7.1,5.9,30.3606449,17.24845996
E05000033,Goresbrook,Barking and Dagenham,25.82,33.27,31.66,2.54,111.98,1.31,33250,18.8,8730.769231,59.03,19.67,9.2,6.3,32.1476463,12.27333461
E05000034,Heath,Barking and Dagenham,25.41,39.6,34.55,2.58,94.83,1.16,31340,17.6,5425,59.26,30.33,10.2,6.7,20.150057,14.33915212
E05000035,Longbridge,Barking and Dagenham,22.55,18.67,15.94,3.1,98.27,0.9,40570,25,7218.75,62.74,22,6.8,4.6,54.2633471,9.158912607
E05000036,Mayesbrook,Barking and Dagenham,24.88,35.43,30.92,2.57,108.98,1.29,31530,16.2,5473.684211,41.93,28.67,9.5,7,32.6651958,12.67544807
E05000037,Parsloes,Barking and Dagenham,23.28,34.63,31.76,2.72,96.25,1.35,31860,16,8250,55.53,23,10,7.1,35.8862892,12.74710293
E05000038,River,Barking and Dagenham,31.18,32.77,28.27,3.05,74.79,1.33,33490,19.5,3055.555556,28.9,25,8.5,5.5,30.1474786,12.25087925
E05000039,Thames,Barking and Dagenham,24.89,35.5,28.83,2.25,90.82,1.23,32580,24.4,1367.088608,92.47,89.67,7,5.6,29.4907353,15.23789992
E05000040,Valence,Barking and Dagenham,21.47,32.8,32.06,3.19,93.09,1.45,33200,17.8,7653.846154,86.38,34.67,10.2,7.6,38.7502411,12.74856385
E05000041,Village,Barking and Dagenham,27.82,36.57,33.13,2.76,123.28,1.51,31960,17.9,5166.666667,25.38,17,8.8,6.1,19.9426275,14.58498024
E05000042,Whalebone,Barking and Dagenham,24.58,27.1,22.76,2.88,99.09,1.15,37180,22.4,6656.25,29.66,35.33,7.4,4.9,41.7130117,10.37304911
E05000043,Brunswick Park,Barnet,15.27,16.77,14.51,2.82,63.74,0.59,39800,34.4,5140.625,26.69,34,6.8,4.7,69.1450888,7.345497351
E05000044,Burnt Oak,Barnet,24.44,32.37,28.76,3.58,78.41,1.09,29400,24.7,8690.47619,25.78,44.33,8.2,6.1,35.8867478,11.17667083
E05000045,Childs Hill,Barnet,20.11,23.7,17.94,4.52,119.07,1.01,38960,43.7,6483.870968,0.86,86.67,7.1,5.1,61.060876,8.843984962
E05000046,Colindale,Barnet,25.1,34.4,27.67,2.5,63.17,1.32,30170,30.8,6596.153846,32.9,30.67,6.3,4.7,37.2194761,11.7875191
E05000047,Coppetts,Barnet,19.09,23.17,19.55,2.87,108.54,0.92,38090,40.6,6407.407407,25.98,62.33,6.7,5,63.9189416,7.924606894
E05000048,East Barnet,Barnet,21.03,19.2,16.14,2.55,75.64,0.52,39870,36.5,4263.157895,46.1,20.33,6.5,4.5,47.7483845,7.312463083
E05000049,East Finchley,Barnet,16.27,20.43,19.81,2.62,77.99,1.06,41160,49.6,6420,60.79,43.67,6.7,4.7,52.8396083,6.331512652
E05000050,Edgware,Barnet,20.08,20.43,17.45,2.94,96.96,0.89,38410,36,3000,32.12,69.67,6.4,4.3,56.1006624,7.648415685
E05000051,Finchley Church End,Barnet,13.21,10.97,8.66,2.92,62.15,0.88,45030,48.6,5833.333333,49.36,64.67,5.5,3.6,64.3736218,5.86893903
E05000052,Garden Suburb,Barnet,13.4,7.8,5.36,2.69,84.65,0.69,53090,57.3,3404.255319,23.2,75.67,4.4,2.7,91.2051856,4.507897934
E05000053,Golders Green,Barnet,16.53,16.3,12.26,3.42,82.81,1.07,40800,37.4,6300,22.79,101.67,6.7,4.4,62.2444156,7.796728159
E05000054,Hale,Barnet,22.07,19.1,17.21,2.52,70.99,0.88,38590,36.5,3240.740741,16.93,50,6.8,4.6,48.2441624,7.35042735
E05000055,Hendon,Barnet,18.52,13.63,11.38,2.63,75.2,1.02,38530,41.3,6607.142857,44.51,94.67,5.8,4.1,66.2560069,8.08862504
E05000056,High Barnet,Barnet,14.49,10.67,8.27,2.73,79.04,0.41,43940,44.3,1849.39759,38.93,50,6.9,4.2,79.4704755,5.536543632
E05000057,Mill Hill,Barnet,19.11,19,15.7,2.23,78.2,0.85,41920,41.6,1968.085106,56.84,99.67,5.7,4,60.8933876,6.694515853
E05000058,Oakleigh,Barnet,14.81,17.73,14.84,3.19,70.75,0.71,41670,40.7,4803.030303,30.32,45,6.8,4.6,71.7303399,5.71873876
E05000059,Totteridge,Barnet,16.26,12.47,9.54,2.67,56.37,0.58,46150,47,1727.272727,38.89,55,6.3,4,70.4382596,5.230728894
E05000060,Underhill,Barnet,17.79,26.13,23.17,2.63,69.84,0.98,37040,31.8,3478.26087,39.61,50.33,8.2,5.5,42.6343845,8.810404182
E05000061,West Finchley,Barnet,16.2,13.57,10.15,3.75,72.12,0.85,42050,49.5,7545.454545,27.98,59,6.2,4.2,73.8290489,6.267290913
E05000062,West Hendon,Barnet,18.05,19.23,15.98,3.54,104.12,1.09,35090,34.4,5132.352941,44.96,131.33,6.7,5,54.3474891,9.001762891
E05000063,Woodhouse,Barnet,19.87,18.8,15.89,2.83,100.84,0.9,38220,41.3,6788.461538,20.23,53,7.4,5.3,65.7456611,7.355864811
E05000064,Barnehurst,Bexley,23.33,16.67,14.65,2.98,53.68,0.88,38200,20.1,3603.448276,32.93,25.33,7.3,4.5,55.4505781,5.966014038
E05000065,Belvedere,Bexley,26.92,27.4,22.84,2.44,79.05,1.27,33510,21.9,3734.375,61.23,24.67,7.6,5.2,24.9596278,9.056727154
E05000066,Blackfen and Lamorbey,Bexley,19.46,9.63,9.27,2.04,43.3,0.67,40780,19.3,6264.705882,70.99,8.67,6.4,4.2,55.9512169,4.826599928
E05000067,Blendon and Penhill,Bexley,17.62,8.33,7.44,2.04,54.66,0.67,40340,19.6,5214.285714,41.17,40.33,6.4,4.1,58.3734034,4.785850529
E05000068,Brampton,Bexley,20.06,9.47,8.22,2.53,45.44,0.62,40790,20.7,5300,10.78,22,7.2,4.4,59.3939577,4.443205057
E05000069,Christchurch,Bexley,15.15,14.73,12.82,3.4,85.21,0.96,40190,24.9,4400,24.45,49.67,7.4,4.2,69.2145078,5.463547891
E05000070,Colyers,Bexley,26.32,25.83,23.87,1.93,72.76,1.16,34450,18.1,6968.75,56.04,16.67,8,6,40.8488654,9.424834259
E05000071,Crayford,Bexley,20.06,23.97,22.57,2.05,53.31,1.12,34900,18.6,2812.5,86.35,45,7.9,5.4,31.5253655,7.518147252
E05000072,Cray Meadows,Bexley,25.57,24.7,22.61,2.03,48.63,1.12,35530,22.2,1562.5,56.47,36,8.8,6,42.1566353,7.078836656
E05000073,Danson Park,Bexley,21.65,16.67,13.95,2.9,65.98,1,38580,21.6,4037.037037,0,41.67,7.1,4.6,57.2163326,6.064313177
E05000074,East Wickham,Bexley,23.35,19.83,16.99,2.78,65.9,1.22,36260,18.8,4954.545455,43.98,23.67,8.2,5.4,46.4937966,7.194115536
E05000075,Erith,Bexley,27.25,27.83,24.62,2.47,77.5,1.35,33160,22.6,2520.833333,78.32,36,7.4,5.3,37.0254376,10.37309687
E05000076,Falconwood and Welling,Bexley,22.74,11.1,8.93,2.58,63.69,0.81,39000,19.6,6382.352941,6.16,26.33,5.9,3.6,56.2500381,6.139154161
E05000077,Lesnes Abbey,Bexley,22.78,22.03,18.89,2.76,86.56,1.04,35630,22.5,4750,44.87,9,8.5,5.5,47.296627,8.577517315
E05000078,Longlands,Bexley,18.04,11.77,9.13,2.59,47.37,0.7,40880,27.1,4038.461538,54.87,21.33,9.2,5,61.2557479,5.80897412
E05000079,North End,Bexley,24.79,34.93,32.04,2.39,100.27,1.55,29930,19.5,2035.087719,47.43,14,8.3,5.7,21.2717021,13.0733519
E05000080,Northumberland Heath,Bexley,23.33,18.73,16.52,2.12,61.85,0.93,37130,17.8,5916.666667,85.06,23.33,7.1,4.5,49.5106416,6.459243086
E05000081,St Mary's,Bexley,14.42,7.53,6.43,2.62,52.56,0.4,44010,27,2386.363636,71.86,38.67,6.3,3.9,75.5537265,4.613953488
E05000082,St Michael's,Bexley,23.15,13.2,11.74,2.03,48.69,0.76,38510,19.1,7964.285714,34.14,6.33,6.3,4.1,51.149236,5.982036943
E05000083,Sidcup,Bexley,18.64,11,8.29,3.05,51.09,0.7,41220,27.2,4037.037037,45.87,30.33,7.3,4.7,69.1589756,5.420726306
E05000084,Thamesmead East,Bexley,26.16,29.17,24.91,2.55,80.17,1.22,32100,28.2,2531.25,73.17,13.67,5.8,4.7,40.5000853,14.86327797
E05000085,Alperton,Brent,18.18,17.33,15.8,2.96,89.7,1.01,31250,26.2,6690.47619,56.59,38.33,5.9,4.4,39.3803064,8.956014838
E05000086,Barnhill,Brent,26.75,27.6,22.38,2.96,88.61,0.96,34630,34.7,5283.333333,15.14,50.67,7.4,5.7,44.2105539,10.33196089
E05000087,Brondesbury Park,Brent,21.21,22.7,18.86,3.97,118.96,0.91,40020,45,7676.470588,3.76,33.33,7.6,5.9,36.4558405,7.775524003
E05000088,Dollis Hill,Brent,22.27,34.13,32.14,2.79,72.39,1.07,30990,25.1,5847.826087,0.29,47.33,7.4,5.4,32.9056438,11.42156863
E05000089,Dudden Hill,Brent,24.32,33.17,30.68,3.45,122.17,1.05,33470,31.7,8882.352941,32.76,50.67,6.5,5.2,40.2615455,10.63561989
E05000090,Fryent,Brent,17.85,19.57,16.56,2.79,84.38,0.67,35590,29,5000,43.65,46.33,6.4,4.9,53.0000888,9.124194493
E05000091,Harlesden,Brent,27.96,40.17,36.44,3.8,156.73,1.31,27030,21.4,15636.36364,18.38,42.67,7.6,6.5,11.0174023,15.57659208
E05000092,Kensal Green,Brent,25.93,28.7,27.01,4.06,140.98,1.04,34640,33.8,13590.90909,8.63,44.33,6.6,5.8,18.3117752,10.43540842
E05000093,Kenton,Brent,19.49,12,10.07,2.63,76.11,0.52,42190,39.8,5282.608696,23.86,47.33,7.6,4.7,73.4632628,7.67299545
E05000094,Kilburn,Brent,28.01,34.6,32.1,5.46,137.7,1.05,34270,39.9,18944.44444,54.56,52,7.3,6.3,23.7067555,10.92901772
E05000095,Mapesbury,Brent,20.99,28.07,24.64,4.54,118.95,0.96,36830,43.7,11107.14286,30.95,56.67,5.8,4.9,36.3915814,8.697528866
E05000096,Northwick Park,Brent,20.98,15.03,13.16,2.79,62.97,0.64,41100,40.3,4759.259259,20.65,40,6.1,4,65.9489011,8.803841676
E05000097,Preston,Brent,23.28,24.17,19.47,3.15,86.34,1.19,35960,35.4,6479.166667,0,32,6.9,4.7,47.7248611,8.869631706
E05000098,Queens Park,Brent,19.87,18.07,17.55,5.03,118.16,0.95,42880,48.2,10233.33333,28.6,37.67,5.5,4.4,46.8349567,6.765783236
E05000099,Queensbury,Brent,20.72,21.27,19.43,3.01,95.65,0.66,35110,30.8,7600,39.21,37.67,7.3,5.5,54.1865286,8.236658933
E05000100,Stonebridge,Brent,26.29,43.7,40,3,83.88,1.41,25800,20.5,4134.146341,44.02,79.67,8.4,6.9,14.2470566,17.24475524
E05000101,Sudbury,Brent,25.48,20.73,17.28,3.33,89.74,0.99,33530,32.3,7142.857143,21.42,29.33,7,5.3,54.1404485,9.245960503
E05000102,Tokyngton,Brent,25.37,22.83,18.06,3.28,84.83,1.09,33130,31.9,5410.714286,52.8,47,7.2,5.1,33.420523,9.807549963
E05000103,Welsh Harp,Brent,27.19,27.33,24.12,2.76,97.92,1.03,31620,24.7,6000,24.07,48.33,7.7,5.6,38.3077435,10.88277858
E05000104,Wembley Central,Brent,21.07,21.67,19.49,4.74,139.84,1.02,31040,29,9218.75,51.47,52.67,7.3,5.3,46.8361526,10.31956549
E05000105,Willesden Green,Brent,24.71,33.8,30.53,4.61,132.91,1.14,31390,33.3,10433.33333,40.5,52.33,6.4,4.9,23.5033424,10.41831097
E05000106,Bickley,Bromley,11.75,8.13,6.51,2.25,53.48,0.54,47190,40.7,3091.836735,36.17,29,7.3,4,82.0709713,4.414461619
E05000107,Biggin Hill,Bromley,15.97,12.43,10.36,1.75,67.35,0.65,40930,23,1204.819277,48.15,16.33,5,3.4,51.0773199,4.790847336
E05000108,Bromley Common and Keston,Bromley,16.56,17.9,15.48,2.3,59.03,0.76,40510,28.3,1825.301205,52.96,63,6.9,4.4,64.7398644,6.635257165
E05000109,Bromley Town,Bromley,13,12.57,11.71,3.75,87.78,0.69,43460,41,4567.567568,33.62,84.33,5.3,3.4,74.5313295,5.517313308
E05000110,Chelsfield and Pratts Bottom,Bromley,15.08,7.07,6.59,1.94,49.24,0.54,44850,33.2,1154.761905,67.54,26,5.3,3.1,74.7033137,4.289296555
E05000111,Chislehurst,Bromley,13.99,9.93,8.26,2.16,84.63,0.81,46250,38,1432.692308,35.93,53,7.3,4,64.6631396,4.493009366
E05000112,Clock House,Bromley,18.01,13.13,12.47,3.98,75.45,0.77,41650,38.3,6782.608696,28.91,42.33,5.4,3.8,57.6287429,6.225077537
E05000113,Copers Cope,Bromley,12.82,18.13,16,3.1,94.82,1.09,43170,45,4681.818182,29.79,56.67,5.8,3.5,48.8318703,5.00323485
E05000114,Cray Valley East,Bromley,23.44,34.07,29.92,2.22,103.75,1.47,32230,19.6,1165.413534,70.23,42.33,8,5.7,32.87658,8.654360621
E05000115,Cray Valley West,Bromley,19.55,32.83,28.95,2.35,96.38,1.34,31740,18.7,4320.512821,62.76,49.33,9.3,6.3,32.7914879,8.896252868
E05000116,Crystal Palace,Bromley,25.81,34.43,30.5,4.36,147.29,1.72,34060,38.1,5347.826087,20.89,39.67,7.5,5.3,27.790407,10.4299702
E05000117,Darwin,Bromley,16.42,10.67,8.93,1.28,62.35,1.05,42810,26.9,177.5862069,62.74,26.33,6.7,3.5,66.9183908,4.196078431
E05000118,Farnborough and Crofton,Bromley,13.72,9.43,8.67,2.26,42.34,0.61,44590,31,2100,59.26,32,6.5,3.7,81.7232506,4.673030346
E05000119,Hayes and Coney Hall,Bromley,12.05,6.5,6.7,2.29,48.41,0.45,45660,31.8,1476.851852,44.74,33.33,5.4,3.1,73.4955873,4.787428432
E05000120,Kelsey and Eden Park,Bromley,16.81,9.23,8.45,2.64,83.03,0.39,44700,33.8,3067.307692,15.16,49.33,6.4,3.6,64.367218,4.79477382
E05000121,Mottingham and Chislehurst North,Bromley,22.85,33.23,31.97,2.53,137.72,1.95,32330,22.1,4187.5,54.81,19.67,8.9,5.9,35.1984206,9.593794652
E05000122,Orpington,Bromley,19.25,23.67,20.14,2.73,81.63,0.82,38090,27.1,3581.395349,60.76,39.33,7.6,4.5,62.2839793,7.055007433
E05000123,Penge and Cator,Bromley,21.83,28.33,25.21,4.01,113.71,1.41,36090,36.5,5800,29.41,46.33,6.7,4.8,36.2919256,9.795367196
E05000124,Petts Wood and Knoll,Bromley,11.11,5.6,4.95,2.42,51.52,0.47,48530,36,3186.046512,30.06,20.67,5.1,3.1,83.2584982,3.97885773
E05000125,Plaistow and Sundridge,Bromley,15.47,18.97,17.72,2.84,79.34,1.07,39460,34.1,3800,49.48,23.67,7.4,4.8,56.1520474,6.842498134
E05000126,Shortlands,Bromley,12.45,5.67,4.92,2.48,44.4,0.28,48020,43.3,3940,14.23,17.33,5.5,2.9,81.1264106,4.544552491
E05000127,West Wickham,Bromley,12.77,5.07,4.31,2.15,49.16,0.31,46210,32.5,3397.727273,23.65,36,5.7,3.1,71.9041513,4.116706635
E05000128,Belsize,Camden,20.5,23.03,19.25,4.09,85.72,0.89,52680,62.2,15875,25.81,16.33,5.3,3.9,42.6592416,5.600649351
E05000129,Bloomsbury,Camden,22.22,24.87,13.46,7.92,72.21,0.94,40340,46.5,10800,68.8,93.67,5.5,4.6,37.9734741,9.803554724
E05000130,Camden Town with Primrose Hill,Camden,16.19,31.87,30.52,5.82,238.58,0.88,45840,53.9,10541.66667,72.65,89.33,7,5.6,45.1381635,6.913272375
E05000131,Cantelowes,Camden,19.92,34.77,31.88,4.88,125.38,0.99,39060,48.1,14875,84.48,51.33,7.6,6.4,30.6439033,8.858024691
E05000132,Fortune Green,Camden,20.36,24.6,22.2,4.51,99.05,1.04,46800,57.8,11750,0.39,21.67,5.8,4.5,20.0148889,6.403194712
E05000133,Frognal and Fitzjohns,Camden,12.99,8.93,5.71,4.52,67.4,1.17,60310,61.4,7966.666667,44.22,23,4.2,2.6,36.6313187,5.01020889
E05000134,Gospel Oak,Camden,23.47,36,31.6,4,84.74,1.15,39990,45.6,16071.42857,87.1,9.33,9.6,8,28.2768311,9.144748302
E05000135,Hampstead Town,Camden,10.26,7,5.54,4.07,70.45,0.88,62840,68.3,4520,53.68,30,5.2,3.4,36.2082836,3.984997656
E05000136,Haverstock,Camden,29.02,42.6,41.31,4.91,132.2,1.25,35730,43.1,17642.85714,72.21,26.33,9.2,7.4,10.7276203,10.47696039
E05000137,Highgate,Camden,15,24.83,22.52,3.87,100.26,1.03,47840,55.8,3421.875,53.13,21.67,7.4,6,28.5585016,7.15010142
E05000138,Holborn and Covent Garden,Camden,19.31,35.63,33.75,7.87,59.35,0.97,40180,46.2,10833.33333,67.05,161.33,7.3,6.3,23.3335534,8.660638598
E05000139,Kentish Town,Camden,23.61,33.67,30.99,5.48,102.48,0.89,41230,54.6,13400,64.71,54,7.1,5.5,39.7195009,6.602931804
E05000140,Kilburn,Camden,24.91,43.23,43.46,5.65,161.54,0.99,34730,43.8,17214.28571,56.37,18,9.4,7.7,23.1084589,9.763222632
E05000141,King's Cross,Camden,23.77,39.9,25.88,7.67,83.57,1.2,32890,39.7,19583.33333,95.89,63.33,6.2,5.2,14.4569372,13.45583877
E05000142,Regent's Park,Camden,27.55,36.33,33.48,6.61,59.71,1.09,34260,36.1,10384.61538,47.51,93.33,7.6,6.2,28.9501527,10.69391635
E05000143,St Pancras and Somers Town,Camden,23.26,46.03,42.03,6.41,62.56,0.91,30500,29.5,9857.142857,83.49,59,9.7,8.2,27.2410276,12.69001983
E05000144,Swiss Cottage,Camden,22.22,25.43,21.53,6.16,102.15,1.02,50340,60.4,9923.076923,21.39,33.67,5.6,3.8,28.0922469,5.561613959
E05000145,West Hampstead,Camden,19.12,30.9,29.63,5.87,116.91,1.09,46290,60.6,13388.88889,18.08,27,6.6,5.2,43.3718006,6.161437247
E05000146,Addiscombe,Croydon,19.09,23.73,20.41,4.45,90.67,1.21,38070,38,10593.75,0,34.67,6.4,4.8,49.403591,8.072337846
E05000147,Ashburton,Croydon,25.55,23.77,20.12,2.75,82.52,1.16,38600,27.3,5481.481481,3.58,36.67,6.6,4.4,45.5120728,8.006258965
E05000148,Bensham Manor,Croydon,23.14,26.43,22.54,3.36,105.76,1.4,33530,29.4,11607.14286,2.81,34.67,6.4,4.7,40.8081758,11.00273582
E05000149,Broad Green,Croydon,27.36,30.6,24.47,4.54,158.46,1.6,31000,26.9,6925.925926,11.5,102.67,6.7,5.2,34.7257447,12.00985644
E05000150,Coulsdon East,Croydon,14.79,14.93,13.22,1.74,51.24,0.78,42660,30.3,1597.402597,33.19,27.33,7.1,4.3,60.3383586,6.419029
E05000151,Coulsdon West,Croydon,18.09,10.2,8.59,2.43,57.91,0.55,46610,34.9,2700,2.29,54.67,6.1,3.8,80.1773437,5.666389582
E05000152,Croham,Croydon,19.86,17.27,13.16,3.24,89.11,1.13,42260,42.1,4528.571429,8.19,50.67,5.7,3.5,61.1591669,7.030577089
E05000153,Fairfield,Croydon,23.19,23.17,16.2,5.81,133.69,1.35,39130,45.9,4381.578947,21.41,120.33,6.3,4.1,50.5726596,8.075186391
E05000154,Fieldway,Croydon,26.68,40.83,35.61,3.14,90,2.34,26720,12.5,7666.666667,47.29,11.33,8.9,6.5,15.0526216,15.57187828
E05000155,Heathfield,Croydon,14.6,20.97,18.47,2.28,114.35,1.28,39770,29.3,1522.988506,18.72,56.33,6.5,4.1,46.9172754,6.394692264
E05000156,Kenley,Croydon,15.4,14.27,12.69,1.86,53.73,1.05,44160,36.1,2315.384615,35.58,28,6,3.7,53.8350002,6.603063018
E05000157,New Addington,Croydon,26.93,35.77,31.6,2.97,98.67,2.29,28770,12.8,4520.833333,17.07,17.67,9.5,6.2,30.065564,11.66263115
E05000158,Norbury,Croydon,26.43,21.6,19.35,2.91,91.79,1.2,36810,34.1,6620,14.25,60.67,7.2,4.6,46.262127,9.111321201
E05000159,Purley,Croydon,18.25,14.67,12.52,2.77,89.18,0.91,44600,40.5,3488.095238,14.23,58.33,6.1,3.8,71.9462154,5.678884874
E05000160,Sanderstead,Croydon,15.92,8.47,7.88,1.58,48.84,0.55,47030,35,2039.68254,28.78,23.67,5.6,3.7,66.587223,5.617805065
E05000161,Selhurst,Croydon,24.67,33.17,26.86,4.23,136.23,1.67,31220,28.4,7891.304348,18.91,57.67,8.1,5.9,33.995058,12.29616571
E05000162,Selsdon and Ballards,Croydon,18.15,8.47,7.88,1.98,50.58,0.57,45320,32,1835.9375,6.89,25.67,5.5,3.4,64.3064696,4.466111024
E05000163,Shirley,Croydon,18.8,22.33,19.63,1.94,60.09,1.07,39500,27.1,5125,3.46,21,6.8,4.3,44.6355376,7.605244997
E05000164,South Norwood,Croydon,23.45,29.87,26.14,3.92,121.86,1.4,34430,35,6916.666667,8.77,40.67,6.8,4.8,50.1591385,11.68586619
E05000165,Thornton Heath,Croydon,26.04,28.03,23.7,3.07,120.28,1.39,33720,28.3,9764.705882,21.15,48.33,6.4,4.7,41.1759207,12.68683065
E05000166,Upper Norwood,Croydon,24.84,24.13,22.42,2.9,106.44,1.28,37430,35.2,6211.538462,39.41,42.67,6.6,4.5,37.1022688,9.759481961
E05000167,Waddon,Croydon,20.65,28.93,25.19,3.65,83.96,1.51,34630,30.1,4763.888889,17.99,109.33,7.9,5.1,46.2561905,8.939173294
E05000168,West Thornton,Croydon,27.8,27.5,21.99,3.05,121.92,1.5,32400,27.3,8775,30.79,76.67,6.4,5.1,40.8793912,11.39002933
E05000169,Woodside,Croydon,23.37,30.37,27.49,3.39,111.99,1.37,33890,29,7636.363636,33.65,27.67,6.1,4.6,48.2514741,11.78033658
E05000170,Acton Central,Ealing,19,29.17,25.69,3.27,143.31,0.94,36500,40.4,8583.333333,19.12,25.67,6.8,5.3,49.7893534,8.133174792
E05000171,Cleveland,Ealing,18.83,25.97,23.68,2.86,84.73,0.65,41730,46.2,6636.363636,45.05,28.33,6.4,4.8,58.0110323,7.941017316
E05000172,Dormers Wells,Ealing,24.39,28.3,27.09,3.23,101.84,0.67,29350,24.4,6065.217391,52.57,29.33,8.4,6.3,34.6396765,12.05968313
E05000173,Ealing Broadway,Ealing,14.79,14.13,11.01,4.6,126,0.73,45540,57.7,7394.736842,33.54,47.67,5.9,4,63.2151812,6.033360937
E05000174,Ealing Common,Ealing,19.7,21.73,19.35,3.42,117.86,0.89,43600,52.6,6690.47619,23.72,55,5.8,4.3,36.2847689,7.016090866
E05000175,East Acton,Ealing,23.67,36.57,32.81,4.1,92.39,1.08,32930,38.3,4360.465116,53.44,99.33,6.2,5.1,33.8420717,9.33025848
E05000176,Elthorne,Ealing,22.03,23.97,22.36,3.61,117.4,0.83,38970,40.6,7300,79.81,38.33,6.3,4.7,44.7832892,7.865168539
E05000177,Greenford Broadway,Ealing,23.76,29.9,28.29,3.19,125.77,0.92,30500,25.8,7080,56.75,72,7.6,5.5,30.9428054,10.60968661
E05000178,Greenford Green,Ealing,22.88,18,15.43,2.69,78.65,0.61,35420,30.2,4235.294118,32.56,52.33,5.9,4.5,51.3741998,7.829776292
E05000179,Hanger Hill,Ealing,17.28,15.37,11.63,3.7,74.9,0.7,44760,50.8,4727.272727,26.88,83,5.4,3.5,64.0314187,6.40569395
E05000180,Hobbayne,Ealing,20.91,22.63,21.09,3,88.03,0.71,36220,33.3,6477.272727,49.94,22.67,7,5.2,51.047455,7.981601732
E05000181,Lady Margaret,Ealing,21.19,19.53,18.59,2.86,90.37,0.73,32520,25.4,9300,21.17,23,7.8,5,38.904276,9.834699264
E05000182,Northfield,Ealing,13.53,8.73,8.37,3.32,76.27,0.35,48480,54.8,9033.333333,37.34,21,4.4,3.3,71.300836,4.715447154
E05000183,North Greenford,Ealing,23.99,17.07,16.27,2.7,85.47,0.77,36480,30.1,4609.375,67.22,21,5.7,4.1,52.2242126,7.693263734
E05000184,Northolt Mandeville,Ealing,23.84,31.27,28.25,3.01,110.1,0.89,31950,25.7,5428.571429,52.47,68.67,6.5,4.7,33.8344111,9.634595163
E05000185,Northolt West End,Ealing,20,33.47,31.25,2.41,134.39,0.97,28550,21.7,4328.571429,72.78,69.67,7.9,5.9,35.3113199,12.95540864
E05000186,Norwood Green,Ealing,22.51,30,30.1,2.19,92.55,1,29020,26.7,3697.368421,88.94,51,10.8,7.2,40.4106403,14.68499773
E05000187,Perivale,Ealing,23.8,16.83,15.28,2.26,92.02,0.8,36040,30.8,4529.411765,52.56,48.67,6,4.3,50.0792874,7.617678764
E05000188,South Acton,Ealing,27.3,33.37,30.9,4.67,109.68,0.79,34300,39.4,8764.705882,48.36,49.33,8.1,6.8,42.6319649,9.567546881
E05000189,Southall Broadway,Ealing,23.6,22.83,21.33,3.29,162.98,0.73,27930,21.9,8406.25,40.65,81,8.8,7,36.4951614,12.81037482
E05000190,Southall Green,Ealing,24.4,29.43,26.01,3,116.62,1.01,27150,21.6,9125,45.94,29,7.8,6,42.699629,13.66389632
E05000191,Southfield,Ealing,16.17,13.1,14.13,3.41,96.71,0.77,50170,57.8,9642.857143,2.43,17.67,4.7,3.7,46.0098083,4.884601294
E05000192,Walpole,Ealing,15.59,10.97,11.08,3.73,107.53,0.49,46240,53.7,8900,57.08,37,5.2,3.6,76.3810531,5.631506334
E05000193,Bowes,Enfield,20.19,26.4,23.75,3.75,88.35,1.15,36300,36.3,9400,70.08,46.67,6.8,5.4,39.4144542,8.902513795
E05000194,Bush Hill Park,Enfield,23.22,17.13,15.01,2.72,70.53,0.9,41800,32.6,5600,58.14,40.67,7.1,4.6,61.6046488,6.694903675
E05000195,Chase,Enfield,22.95,29.8,25.68,1.87,66.97,1.18,36350,28.1,819.5266272,61.52,85.67,8,5.8,33.4164436,9.107753706
E05000196,Cockfosters,Enfield,20.24,17.5,14.43,2.51,59.36,0.81,43570,35,1331.730769,54.18,36.67,7.5,4.7,57.1974232,7.949479941
